,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrapirapurwac,176,5280.0,60.0,1.0,60.0,88
1,Muzaffarpurbandrapirapurwad,234,7020.0,30.0,1.0,30.0,117
2,Muzaffarpurbandrapirapurwae,206,6180.0,0.0,0.0,0.0,103
3,Muzaffarpurbandrapirapurwag,288,8640.0,60.0,1.0,60.0,144
4,Muzaffarpurbandrapirapurwah,352,10560.0,390.0,7.0,390.0,176
5,Muzaffarpurbandrapirapurwai,333,10050.0,4860.0,76.0,4560.0,168
6,Muzaffarpurbandrapirapurwaj,404,12120.0,0.0,0.0,0.0,202
7,Muzaffarpurbandrapirapurwba,294,8370.0,1860.0,32.0,2340.0,147
8,Muzaffarpurbandrapirapurwbb,240,7200.0,60.0,1.0,60.0,120
9,Muzaffarpurbandrapirapurwbc,284,8480.0,3990.0,10.0,420.0,142
10,Muzaffarpurbandrapirapurwbd,244,7320.0,0.0,0.0,0.0,122
11,Muzaffarpurbandrarampurdayalwab,160,4800.0,0.0,0.0,0.0,80
12,Muzaffarpurbandrarampurdayalwac,310,9300.0,150.0,3.0,150.0,155
13,Muzaffarpurbandrarampurdayalwae,148,4440.0,0.0,0.0,0.0,74
14,Muzaffarpurbandrarampurdayalwaf,318,9540.0,0.0,0.0,0.0,159
15,Muzaffarpurbandrarampurdayalwai,368,11040.0,360.0,6.0,360.0,184
16,Muzaffarpurbandrarampurdayalwaj,129,3870.0,120.0,2.0,120.0,65
17,Muzaffarpurbandrarampurdayalwba,154,4620.0,0.0,0.0,0.0,77
18,Muzaffarpurbandrarampurdayalwbb,382,11460.0,180.0,3.0,180.0,191
19,Muzaffarpurbandrarampurdayalwbc,328,9840.0,30.0,1.0,30.0,164
20,Muzaffarpurbandrarampurdayalwbd,398,11940.0,1680.0,3.0,180.0,199
21,Muzaffarpurmoraulharsingpurlautanwab,4,0.0,120.0,4.0,240.0,3
22,Muzaffarpursakrabhartipurwad,48,4310.0,1160.0,8.0,1160.0,181
23,Muzaffarpursakramajhauliyawab,487,29015.0,11519.0,199.0,11719.0,132
24,Muzaffarpursakramajhauliyawac,111,7510.0,1845.0,29.0,2370.0,111
25,Muzaffarpursakramajhauliyawad,111,16535.0,2635.0,86.0,2740.0,123
26,Muzaffarpursakramajhauliyawae,8,180.0,30.0,1.0,30.0,9
27,Muzaffarpursakramajhauliyawag,31,6170.0,1080.0,19.0,1080.0,153
28,Muzaffarpursakramajhauliyawai,123,7680.0,1830.0,42.0,3450.0,123
29,Muzaffarpursakramajhauliyawaj,60,10020.0,300.0,3.0,330.0,151
30,Muzaffarpursakramajhauliyawba,117,11750.0,0.0,0.0,0.0,126
31,Muzaffarpursakramajhauliyawbb,102,10510.0,3200.0,87.0,3320.0,105
32,Muzaffarpursakramajhauliyawbc,676,56485.0,11220.0,82.0,9370.0,156
33,Muzaffarpursakramajhauliyawbd,536,5960.0,7010.0,77.0,9410.0,115
34,Muzaffarpursakramajhauliyawbe,20,10590.0,0.0,0.0,0.0,106
35,Muzaffarpursakramajhauliyawbf,390,16970.0,4330.0,81.0,5460.0,137
