,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,520,15600.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,760,22800.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,244,7320.0,1050.0,23.0,1050.0,61
3,Muzaffarpurbandrabandrawbc,372,11160.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabandrawbf,92,2760.0,0.0,0.0,0.0,92
5,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
6,Muzaffarpurbandrabargaowac,274,8220.0,0.0,0.0,0.0,137
7,Muzaffarpurbandrabargaowad,382,11460.0,120.0,4.0,120.0,191
8,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
9,Muzaffarpurbandrabargaowaf,388,11640.0,0.0,0.0,0.0,97
10,Muzaffarpurbandrabargaowag,258,7740.0,0.0,0.0,0.0,129
11,Muzaffarpurbandrabargaowah,376,11280.0,60.0,1.0,60.0,94
12,Muzaffarpurbandrabargaowai,1035,31050.0,6720.0,99.0,6720.0,259
13,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
14,Muzaffarpurbandrabargaowbb,517,15540.0,180.0,3.0,180.0,131
15,Muzaffarpurbandrabargaowbc,359,12130.0,2780.0,30.0,3080.0,93
16,Muzaffarpurbandrabargaowbd,422,12950.0,1800.0,20.0,1800.0,86
17,Muzaffarpurbandrabargaowbe,588,17640.0,30.0,1.0,30.0,196
18,Muzaffarpurbandrahatthawab,108,3240.0,0.0,0.0,0.0,54
19,Muzaffarpurbandrahatthawac,142,4260.0,0.0,0.0,0.0,71
20,Muzaffarpurbandrahatthawad,384,11520.0,0.0,0.0,0.0,128
21,Muzaffarpurbandrahatthawaf,508,15240.0,0.0,0.0,0.0,127
22,Muzaffarpurbandrahatthawah,118,3540.0,0.0,0.0,0.0,116
23,Muzaffarpurbandrahatthawai,416,12480.0,0.0,0.0,0.0,104
24,Muzaffarpurbandrahatthawaj,519,15570.0,0.0,0.0,0.0,173
25,Muzaffarpurbandrahatthawbc,138,4140.0,0.0,0.0,0.0,69
26,Muzaffarpurbandrahatthawbe,140,4200.0,0.0,0.0,0.0,70
27,Muzaffarpurbandrahatthawbf,140,4200.0,0.0,0.0,0.0,70
28,Muzaffarpurbandrahatthawbg,135,4050.0,30.0,1.0,30.0,136
29,Muzaffarpurbandramunnibangriwab,312,9360.0,30.0,1.0,30.0,104
30,Muzaffarpurbandramunnibangriwac,375,11250.0,0.0,0.0,0.0,125
31,Muzaffarpurbandramunnibangriwad,192,5760.0,0.0,0.0,0.0,64
32,Muzaffarpurbandramunnibangriwae,484,14520.0,4770.0,80.0,4770.0,121
33,Muzaffarpurbandramunnibangriwaf,324,9720.0,2850.0,95.0,2850.0,108
34,Muzaffarpurbandramunnibangriwag,138,4140.0,0.0,0.0,0.0,69
35,Muzaffarpurbandramunnibangriwah,516,15480.0,0.0,0.0,0.0,172
36,Muzaffarpurbandramunnibangriwai,186,5580.0,0.0,0.0,0.0,93
37,Muzaffarpurbandramunnibangriwaj,312,9360.0,240.0,2.0,240.0,78
38,Muzaffarpurbandramunnibangriwba,628,18840.0,120.0,1.0,120.0,157
39,Muzaffarpurbandramunnibangriwbb,576,17280.0,0.0,0.0,0.0,144
40,Muzaffarpurbandramunnibangriwbc,282,8460.0,90.0,2.0,90.0,94
41,Muzaffarpurbandramunnibangriwbd,385,11550.0,0.0,0.0,0.0,129
42,Muzaffarpurbandranunfarawab,483,14490.0,600.0,10.0,600.0,161
43,Muzaffarpurbandranunfarawac,838,25320.0,4240.0,41.0,4240.0,170
44,Muzaffarpurbandranunfarawad,726,21820.0,8545.0,134.0,8595.0,146
45,Muzaffarpurbandranunfarawae,344,10320.0,0.0,0.0,0.0,86
46,Muzaffarpurbandranunfarawaf,504,15120.0,0.0,0.0,0.0,126
47,Muzaffarpurbandranunfarawag,426,12780.0,0.0,0.0,0.0,213
48,Muzaffarpurbandranunfarawah,660,19800.0,30.0,1.0,30.0,165
49,Muzaffarpurbandranunfarawai,480,14400.0,0.0,0.0,0.0,120
50,Muzaffarpurbandranunfarawaj,243,7290.0,0.0,0.0,0.0,81
51,Muzaffarpurbandranunfarawba,656,19680.0,0.0,0.0,0.0,164
52,Muzaffarpurbandranunfarawbb,512,15780.0,4560.0,38.0,4560.0,104
53,Muzaffarpurbandranunfarawbc,387,11610.0,0.0,0.0,0.0,129
54,Muzaffarpurbandrapatsarawab,294,8820.0,0.0,0.0,0.0,98
55,Muzaffarpurbandrapatsarawac,60,1800.0,0.0,0.0,0.0,30
56,Muzaffarpurbandrapatsarawad,300,9000.0,0.0,0.0,0.0,150
57,Muzaffarpurbandrapatsarawae,113,3390.0,0.0,0.0,0.0,113
58,Muzaffarpurbandrapatsarawaf,294,8820.0,0.0,0.0,0.0,98
59,Muzaffarpurbandrapatsarawag,636,19200.0,3420.0,50.0,3740.0,130
60,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
61,Muzaffarpurbandrapatsarawai,932,27960.0,110.0,3.0,110.0,233
62,Muzaffarpurbandrapatsarawaj,384,11520.0,0.0,0.0,0.0,96
63,Muzaffarpurbandrapatsarawba,168,5040.0,660.0,11.0,660.0,84
64,Muzaffarpurbandrapatsarawbb,56,1680.0,61.0,3.0,61.0,57
65,Muzaffarpurbandrapatsarawbc,216,6480.0,30.0,1.0,30.0,216
66,Muzaffarpurbandrapatsarawbd,108,3240.0,0.0,0.0,0.0,108
67,Muzaffarpurbandrapirapurwab,575,17250.0,0.0,0.0,0.0,115
68,Muzaffarpurbandrapirapurwac,528,15840.0,90.0,2.0,90.0,88
69,Muzaffarpurbandrapirapurwad,585,17550.0,30.0,1.0,30.0,117
70,Muzaffarpurbandrapirapurwae,724,22350.0,660.0,4.0,660.0,106
71,Muzaffarpurbandrapirapurwag,864,25920.0,60.0,1.0,60.0,144
72,Muzaffarpurbandrapirapurwah,880,26400.0,5780.0,56.0,5780.0,176
73,Muzaffarpurbandrapirapurwai,1153,35610.0,18890.0,311.0,18890.0,166
74,Muzaffarpurbandrapirapurwaj,1212,36360.0,120.0,1.0,120.0,202
75,Muzaffarpurbandrapirapurwba,1007,29320.0,10970.0,153.0,11860.0,150
76,Muzaffarpurbandrapirapurwbb,840,25200.0,90.0,2.0,90.0,120
77,Muzaffarpurbandrapirapurwbc,982,29420.0,13450.0,179.0,13490.0,140
78,Muzaffarpurbandrapirapurwbd,732,21960.0,120.0,1.0,120.0,122
79,Muzaffarpurbandrarampurdayalwab,480,14400.0,5040.0,30.0,5040.0,80
80,Muzaffarpurbandrarampurdayalwac,1083,32490.0,6000.0,42.0,6000.0,154
81,Muzaffarpurbandrarampurdayalwad,240,7200.0,0.0,0.0,0.0,48
82,Muzaffarpurbandrarampurdayalwae,444,13320.0,0.0,0.0,0.0,74
83,Muzaffarpurbandrarampurdayalwaf,636,19080.0,0.0,0.0,0.0,159
84,Muzaffarpurbandrarampurdayalwah,858,25740.0,5760.0,54.0,5760.0,143
85,Muzaffarpurbandrarampurdayalwai,1104,33120.0,3900.0,27.0,3900.0,184
86,Muzaffarpurbandrarampurdayalwaj,389,11670.0,120.0,2.0,120.0,65
87,Muzaffarpurbandrarampurdayalwba,308,9240.0,2070.0,18.0,2070.0,77
88,Muzaffarpurbandrarampurdayalwbb,1146,34380.0,240.0,4.0,240.0,191
89,Muzaffarpurbandrarampurdayalwbc,984,29520.0,30.0,1.0,30.0,164
90,Muzaffarpurbandrarampurdayalwbd,1194,35820.0,8750.0,96.0,8750.0,199
91,Muzaffarpurbandrasundarpurratwarawab,280,8400.0,0.0,0.0,0.0,140
92,Muzaffarpurbandrasundarpurratwarawac,212,6360.0,0.0,0.0,0.0,106
93,Muzaffarpurbandrasundarpurratwarawad,180,5400.0,0.0,0.0,0.0,89
94,Muzaffarpurbandrasundarpurratwarawag,342,10260.0,0.0,0.0,0.0,114
95,Muzaffarpurbandrasundarpurratwarawah,384,11460.0,6030.0,74.0,6090.0,128
96,Muzaffarpurbandrasundarpurratwarawaj,296,8880.0,30.0,1.0,30.0,148
97,Muzaffarpurbandrasundarpurratwarawba,469,13990.0,3520.0,101.0,3600.0,176
98,Muzaffarpurbandrasundarpurratwarawbb,208,6240.0,660.0,11.0,660.0,104
99,Muzaffarpurbandrasundarpurratwarawbc,96,2880.0,0.0,0.0,0.0,96
100,Muzaffarpurbandrasundarpurratwarawbd,174,2910.0,2310.0,39.0,4620.0,87
101,Muzaffarpurbandrasundarpurratwarawbe,170,5100.0,60.0,1.0,60.0,85
102,Muzaffarpurbandratepariwab,123,3690.0,0.0,0.0,0.0,123
103,Muzaffarpurbandratepariwac,352,10650.0,2190.0,41.0,2190.0,89
104,Muzaffarpurbandratepariwad,306,9180.0,300.0,10.0,300.0,103
105,Muzaffarpurbandratepariwae,336,10080.0,0.0,0.0,0.0,84
106,Muzaffarpurbandratepariwag,330,9900.0,60.0,1.0,60.0,165
107,Muzaffarpurbandratepariwah,272,8160.0,0.0,0.0,0.0,136
108,Muzaffarpurbandratepariwai,385,11550.0,0.0,0.0,0.0,129
109,Muzaffarpurbandratepariwaj,207,6210.0,880.0,30.0,880.0,69
110,Muzaffarpurbandratepariwba,98,2850.0,150.0,5.0,240.0,98
111,Muzaffarpurbandratepariwbb,412,12360.0,1240.0,13.0,1240.0,108
112,Muzaffarpurbandratepariwbc,74,2220.0,30.0,1.0,30.0,75
113,Muzaffarpurbandratepariwbd,211,6330.0,0.0,0.0,0.0,211
114,Muzaffarpurbandratepariwbe,447,13410.0,0.0,0.0,0.0,149
115,Muzaffarpurbandratepariwbf,429,12870.0,0.0,0.0,0.0,143
116,Muzaffarpurmoraulbishanpurbakhriwad,261,7830.0,120.0,3.0,120.0,87
117,Muzaffarpurmoraulbishanpurbakhriwae,372,11160.0,180.0,4.0,180.0,93
118,Muzaffarpurmoraulbishanpurbakhriwah,97,2910.0,30.0,1.0,30.0,97
119,Muzaffarpurmoraulbishanpurbakhriwai,343,10230.0,6070.0,149.0,6160.0,87
120,Muzaffarpurmoraulbishanpurbakhriwaj,496,14640.0,13230.0,292.0,13470.0,124
121,Muzaffarpurmoraulbishanpurbakhriwbb,136,4080.0,0.0,0.0,0.0,136
122,Muzaffarpurmoraulbishanpurbakhriwbd,441,13230.0,510.0,6.0,510.0,111
123,Muzaffarpurmoraulbishanpurbakhriwbe,194,5820.0,60.0,2.0,60.0,97
124,Muzaffarpurmoraulbishanpurbakhriwbf,480,14280.0,2190.0,35.0,2370.0,96
125,Muzaffarpurmoraulbishanpurshreeramwac,82,2460.0,450.0,15.0,450.0,82
126,Muzaffarpurmoraulbishanpurshreeramwba,298,9000.0,180.0,2.0,180.0,100
127,Muzaffarpurmoraulbishanpurshreeramwbb,250,8980.0,1920.0,23.0,1920.0,131
128,Muzaffarpurmoraulbishanpurshreeramwbe,41,1230.0,750.0,25.0,750.0,41
129,Muzaffarpurmoraulharsingpurlautanwab,3,90.0,90.0,4.0,240.0,48
130,Muzaffarpurmoraulharsingpurlautanwac,336,10080.0,5260.0,90.0,5260.0,84
131,Muzaffarpurmoraulharsingpurlautanwad,592,16860.0,10690.0,288.0,11620.0,148
132,Muzaffarpurmoraulharsingpurlautanwae,249,7470.0,120.0,4.0,120.0,83
133,Muzaffarpurmoraulharsingpurlautanwag,122,3660.0,360.0,12.0,360.0,122
134,Muzaffarpurmoraulharsingpurlautanwbb,309,9270.0,2090.0,55.0,2090.0,103
135,Muzaffarpurmoraulharsingpurlautanwbd,99,2970.0,1020.0,33.0,1020.0,33
136,Muzaffarpurmoraulitaharasulnagarwab,84,2520.0,0.0,0.0,0.0,84
137,Muzaffarpurmoraulitaharasulnagarwac,190,5700.0,2810.0,84.0,2810.0,95
138,Muzaffarpurmoraulitaharasulnagarwae,51,1530.0,30.0,1.0,30.0,51
139,Muzaffarpurmoraulitaharasulnagarwaf,426,12780.0,6870.0,156.0,6870.0,142
140,Muzaffarpurmoraulitaharasulnagarwag,321,9630.0,30.0,1.0,30.0,107
141,Muzaffarpurmoraulitaharasulnagarwah,220,6600.0,300.0,6.0,300.0,110
142,Muzaffarpurmoraulitaharasulnagarwai,156,4680.0,0.0,0.0,0.0,156
143,Muzaffarpurmoraulitaharasulnagarwaj,315,9450.0,3420.0,99.0,3420.0,105
144,Muzaffarpurmoraulitaharasulnagarwbb,80,2400.0,30.0,1.0,30.0,80
145,Muzaffarpurmoraulitaharasulnagarwbc,309,9270.0,5580.0,132.0,5580.0,103
146,Muzaffarpurmoraulitaharasulnagarwbe,214,6420.0,2220.0,40.0,2220.0,107
147,Muzaffarpurmoraulmahmadpurbadalwab,82,2280.0,60.0,2.0,240.0,82
148,Muzaffarpurmoraulmahmadpurbadalwac,129,3780.0,90.0,3.0,180.0,130
149,Muzaffarpurmoraulmahmadpurbadalwad,32,900.0,60.0,2.0,120.0,32
150,Muzaffarpurmoraulmahmadpurbadalwae,62,1770.0,30.0,1.0,120.0,62
151,Muzaffarpurmoraulmahmadpurbadalwaf,78,2070.0,840.0,28.0,1110.0,78
152,Muzaffarpurmoraulmahmadpurbadalwba,74,1920.0,1470.0,49.0,1770.0,74
153,Muzaffarpurmoraulmahmadpurbadalwbc,98,2910.0,90.0,2.0,120.0,49
154,Muzaffarpurmoraulmahmadpurbadalwbd,104,2550.0,780.0,26.0,1350.0,104
155,Muzaffarpurmoraulmahmadpurbadalwbf,69,2010.0,30.0,1.0,90.0,69
156,Muzaffarpurmoraulmeerapurwac,91,-510.0,810.0,27.0,4050.0,93
157,Muzaffarpurmoraulmeerapurwaf,102,2880.0,120.0,4.0,300.0,102
158,Muzaffarpurmoraulmeerapurwah,153,4500.0,30.0,1.0,120.0,153
159,Muzaffarpurmoraulmeerapurwaj,128,3810.0,120.0,3.0,150.0,64
160,Muzaffarpurmoraulmeerapurwbe,1,30.0,0.0,0.0,0.0,139
161,Muzaffarpurmoraulpilkhigajpattiwab,294,8730.0,210.0,3.0,300.0,98
162,Muzaffarpurmoraulpilkhigajpattiwad,122,3660.0,0.0,0.0,0.0,122
163,Muzaffarpurmoraulpilkhigajpattiwaf,93,2550.0,30.0,1.0,270.0,93
164,Muzaffarpurmoraulpilkhigajpattiwah,87,2250.0,210.0,7.0,570.0,87
165,Muzaffarpurmoraulpilkhigajpattiwai,228,5700.0,1380.0,46.0,2520.0,114
166,Muzaffarpurmoraulpilkhigajpattiwaj,181,5400.0,30.0,1.0,60.0,181
167,Muzaffarpurmoraulpilkhigajpattiwba,89,2310.0,360.0,12.0,720.0,89
168,Muzaffarpurmoraulpilkhigajpattiwbb,67,40.0,750.0,25.0,2720.0,67
169,Muzaffarpurmoraulpilkhigajpattiwbc,432,12570.0,450.0,9.0,840.0,108
170,Muzaffarpurmoraulpilkhigajpattiwbd,77,2070.0,150.0,5.0,390.0,77
171,Muzaffarpurmoraulpilkhigajpattiwbe,81,2220.0,150.0,5.0,360.0,81
172,Muzaffarpurmoraulsadiqpurmuraulwac,54,1620.0,480.0,16.0,480.0,54
173,Muzaffarpurmoraulsadiqpurmuraulwad,165,4950.0,210.0,5.0,210.0,55
174,Muzaffarpurmoraulsadiqpurmuraulwai,348,10440.0,1110.0,19.0,1110.0,87
175,Muzaffarpurmoraulvidhyajhanpwab,222,6660.0,3600.0,61.0,3600.0,111
176,Muzaffarpurmoraulvidhyajhanpwac,736,22160.0,5420.0,112.0,5450.0,108
177,Muzaffarpurmoraulvidhyajhanpwad,708,21240.0,10050.0,292.0,10050.0,118
178,Muzaffarpurmoraulvidhyajhanpwae,376,11280.0,4260.0,48.0,4260.0,94
179,Muzaffarpurmoraulvidhyajhanpwag,618,18240.0,14550.0,412.0,14850.0,103
180,Muzaffarpurmoraulvidhyajhanpwah,594,17820.0,910.0,11.0,910.0,149
