,tenantid,Demand Count,Total Demand Amount,Demand Collected,Total No. of Payments,Total Payment Amount Collected,Total No. of consumers
0,Muzaffarpurbandrabandrawab,104,3120.0,30.0,1.0,30.0,104
1,Muzaffarpurbandrabandrawac,380,11400.0,1500.0,25.0,1500.0,190
2,Muzaffarpurbandrabandrawag,244,7320.0,1050.0,23.0,1050.0,61
3,Muzaffarpurbandrabandrawbc,186,5580.0,1020.0,19.0,1020.0,93
4,Muzaffarpurbandrabandrawbf,92,2760.0,0.0,0.0,0.0,92
5,Muzaffarpurbandrabargaowab,303,9090.0,0.0,0.0,0.0,101
6,Muzaffarpurbandrabargaowac,137,4110.0,0.0,0.0,0.0,137
7,Muzaffarpurbandrabargaowad,191,5730.0,120.0,4.0,120.0,191
8,Muzaffarpurbandrabargaowae,334,10020.0,0.0,0.0,0.0,167
9,Muzaffarpurbandrabargaowaf,194,5820.0,0.0,0.0,0.0,97
10,Muzaffarpurbandrabargaowag,129,3870.0,0.0,0.0,0.0,129
11,Muzaffarpurbandrabargaowah,188,5640.0,60.0,1.0,60.0,94
12,Muzaffarpurbandrabargaowai,776,23280.0,5640.0,83.0,5640.0,259
13,Muzaffarpurbandrabargaowaj,216,6480.0,0.0,0.0,0.0,108
14,Muzaffarpurbandrabargaowbb,388,11670.0,180.0,3.0,180.0,131
15,Muzaffarpurbandrabargaowbc,216,7320.0,930.0,15.0,930.0,88
16,Muzaffarpurbandrabargaowbd,252,7560.0,30.0,1.0,30.0,84
17,Muzaffarpurbandrabargaowbe,196,5880.0,30.0,1.0,30.0,196
18,Muzaffarpurbandrahatthawab,54,1620.0,0.0,0.0,0.0,54
19,Muzaffarpurbandrahatthawac,71,2130.0,0.0,0.0,0.0,71
20,Muzaffarpurbandrahatthawad,256,7680.0,0.0,0.0,0.0,128
21,Muzaffarpurbandrahatthawaf,381,11430.0,0.0,0.0,0.0,127
22,Muzaffarpurbandrahatthawah,117,3510.0,0.0,0.0,0.0,116
23,Muzaffarpurbandrahatthawai,312,9360.0,0.0,0.0,0.0,104
24,Muzaffarpurbandrahatthawaj,519,15570.0,0.0,0.0,0.0,173
25,Muzaffarpurbandrahatthawbc,69,2070.0,0.0,0.0,0.0,69
26,Muzaffarpurbandrahatthawbe,70,2100.0,0.0,0.0,0.0,70
27,Muzaffarpurbandrahatthawbf,70,2100.0,0.0,0.0,0.0,70
28,Muzaffarpurbandrahatthawbg,135,4050.0,0.0,0.0,0.0,135
29,Muzaffarpurbandramunnibangriwab,208,6240.0,30.0,1.0,30.0,104
30,Muzaffarpurbandramunnibangriwac,250,7500.0,0.0,0.0,0.0,125
31,Muzaffarpurbandramunnibangriwad,128,3840.0,0.0,0.0,0.0,64
32,Muzaffarpurbandramunnibangriwae,121,3630.0,30.0,1.0,30.0,121
33,Muzaffarpurbandramunnibangriwaf,216,6480.0,2190.0,73.0,2190.0,108
34,Muzaffarpurbandramunnibangriwag,69,2070.0,0.0,0.0,0.0,69
35,Muzaffarpurbandramunnibangriwah,344,10320.0,0.0,0.0,0.0,172
36,Muzaffarpurbandramunnibangriwai,93,2790.0,0.0,0.0,0.0,93
37,Muzaffarpurbandramunnibangriwaj,78,2340.0,0.0,0.0,0.0,78
38,Muzaffarpurbandramunnibangriwba,157,4710.0,0.0,0.0,0.0,157
39,Muzaffarpurbandramunnibangriwbb,432,12960.0,0.0,0.0,0.0,144
40,Muzaffarpurbandramunnibangriwbc,94,2820.0,30.0,1.0,30.0,94
41,Muzaffarpurbandramunnibangriwbd,127,3810.0,0.0,0.0,0.0,129
42,Muzaffarpurbandranunfarawab,483,14490.0,510.0,9.0,510.0,161
43,Muzaffarpurbandranunfarawac,504,15300.0,1890.0,23.0,1890.0,170
44,Muzaffarpurbandranunfarawad,580,17400.0,4060.0,66.0,4060.0,145
45,Muzaffarpurbandranunfarawae,258,7740.0,0.0,0.0,0.0,86
46,Muzaffarpurbandranunfarawaf,252,7560.0,0.0,0.0,0.0,126
47,Muzaffarpurbandranunfarawag,213,6390.0,0.0,0.0,0.0,213
48,Muzaffarpurbandranunfarawah,330,9900.0,30.0,1.0,30.0,165
49,Muzaffarpurbandranunfarawai,360,10800.0,0.0,0.0,0.0,120
50,Muzaffarpurbandranunfarawaj,162,4860.0,0.0,0.0,0.0,81
51,Muzaffarpurbandranunfarawba,656,19680.0,0.0,0.0,0.0,164
52,Muzaffarpurbandranunfarawbb,412,12360.0,120.0,1.0,120.0,103
53,Muzaffarpurbandranunfarawbc,258,7740.0,0.0,0.0,0.0,129
54,Muzaffarpurbandrapatsarawab,98,2940.0,0.0,0.0,0.0,98
55,Muzaffarpurbandrapatsarawac,30,900.0,0.0,0.0,0.0,30
56,Muzaffarpurbandrapatsarawad,150,4500.0,0.0,0.0,0.0,150
57,Muzaffarpurbandrapatsarawaf,294,8820.0,0.0,0.0,0.0,98
58,Muzaffarpurbandrapatsarawag,506,15300.0,3090.0,47.0,3410.0,130
59,Muzaffarpurbandrapatsarawah,168,5040.0,60.0,1.0,60.0,84
